name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Meribel,2023-11-22,48.8,40.8,44.1,43.2,33.8,37.9,34,67.5,0,0,0,snow,0,28.3,30.3,15.8,10.8,1020.7,95.9,21.4,91.8,8.1,6,10,2023-11-22T07:41:27,2023-11-22T16:57:46,0.32,Overcast,Cloudy skies throughout the day.,cloudy,"16054099999,LFLB,07491099999,F2047,07490099999,06717099999,07487099999"
Meribel,2023-11-23,43.5,37.1,39.6,38.6,29.4,34,28.4,64.1,0,0,0,,0,28.3,19,11.9,355.9,1027.1,86.2,11.2,84.3,7.3,4,10,2023-11-23T07:42:46,2023-11-23T16:57:01,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16054099999,LFLB,07491099999,F2047,07490099999,06717099999,07487099999"
Meribel,2023-11-24,46,36.1,40,42.3,29.3,34.4,31.8,73.1,0.025,100,12.5,"rain,snow",0.3,28.3,33.3,18.4,40.2,1018.2,95.5,8.5,88.8,7.6,4,10,2023-11-24T07:44:04,2023-11-24T16:56:18,0.4,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"16054099999,LFLB,07491099999,F2047,07490099999,06717099999,07487099999"
Meribel,2023-11-25,41.1,30.1,36.1,34.4,23.9,28.2,24.5,63.3,0,0,0,snow,2.2,30.8,29.9,15.2,2.9,1017.1,82.8,19.9,89.6,7.7,5,10,2023-11-25T07:45:21,2023-11-25T16:55:37,0.43,Partially cloudy,Partly cloudy throughout the day.,snow,"16054099999,LFLB,07491099999,F2047,07490099999,06717099999,07487099999"
Meribel,2023-11-26,45.7,24.1,32.6,42.9,17.3,29.1,27.1,81.3,0,0,0,,0,31.7,14.4,7.2,29,1019.3,35.1,11.3,87.8,7.6,4,10,2023-11-26T07:46:37,2023-11-26T16:54:59,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16054099999,LFLB,07491099999,F2047,07490099999,06717099999,07487099999"
Meribel,2023-11-27,39,30.3,34.5,36.7,27.5,32,28.6,80.2,0.271,100,33.33,snow,5.2,32.9,16.1,9.4,171.4,1011.3,97.8,8.6,32.4,2.7,3,10,2023-11-27T07:47:52,2023-11-27T16:54:23,0.5,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"16054099999,LFLB,07491099999,F2047,07490099999,06717099999,07487099999"
Meribel,2023-11-28,40.9,30.3,38.1,35,26,32.2,32.8,81.4,0.363,100,66.67,snow,8.9,50.3,29.5,10.8,15,1005.9,95.8,13.1,6.2,0.5,0,10,2023-11-28T07:49:06,2023-11-28T16:53:50,0.53,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"16054099999,LFLB,07491099999,F2047,07490099999,06717099999,07487099999"
Meribel,2023-11-29,40.8,28.5,33.6,38.8,24.6,32.2,23.7,68.3,0,0,0,snow,0.5,54.9,12.3,5.3,47.4,1009.3,90.2,11.1,73.6,6.4,4,10,2023-11-29T07:50:19,2023-11-29T16:53:19,0.57,Overcast,Cloudy skies throughout the day.,snow,"16054099999,LFLB,07491099999,F2047,07490099999,06717099999,07487099999"
Meribel,2023-11-30,43.8,34.4,38.7,42.6,26.8,34.5,36.5,91.8,1.503,100,100,"rain,snow",4.3,58.7,29.6,10.9,339.5,1001.5,98.1,2.9,16.9,1.4,1,10,2023-11-30T07:51:31,2023-11-30T16:52:51,0.6,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"16054099999,LFLB,07491099999,F2047,07490099999,06717099999,07487099999"
Meribel,2023-12-01,43.9,32.1,39.9,41.7,26.3,35.3,37.6,91.4,1.965,100,100,"rain,snow",3.8,56.1,21.3,10,356,999.7,98.4,4,11.5,0.9,1,10,2023-12-01T07:52:42,2023-12-01T16:52:25,0.63,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"16054099999,LFLB,07491099999,F2047,07490099999,06717099999,07487099999"
Meribel,2023-12-02,35.3,29,32.8,28.3,21,25.9,27.5,81.2,0.132,100,29.17,snow,5.1,64.7,21.4,11.2,46.2,1010.1,99.6,11.5,7,0.6,0,10,2023-12-02T07:53:51,2023-12-02T16:52:02,0.66,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"16054099999,LFLB,07491099999,F2047,07490099999,06717099999,07487099999"
Meribel,2023-12-03,34.2,23.8,28.4,32.8,17.1,23.7,19.5,69.5,0,0,0,snow,0.1,66.5,16.9,8.3,46.1,1023.5,50.7,11.3,45.2,3.8,3,10,2023-12-03T07:54:59,2023-12-03T16:51:41,0.69,Partially cloudy,Partly cloudy throughout the day.,snow,"16054099999,LFLB,07491099999,F2047,07490099999,06717099999,07487099999"
Meribel,2023-12-04,42.7,23.9,31.1,34.7,18.4,24.6,26.4,82.5,0.149,100,45.83,snow,1.5,67.3,22.8,17.2,298.7,1015.5,98.5,9.6,22.5,1.9,1,10,2023-12-04T07:56:06,2023-12-04T16:51:23,0.73,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"16054099999,LFLB,07491099999,F2047,07490099999,06717099999,07487099999"
Meribel,2023-12-05,48.1,39.1,42.6,46.3,33.4,39.3,36.6,79.9,0.577,100,54.17,"rain,snow",0,72.6,37.4,15,199.1,1013.5,93.5,5.9,71.6,6.1,6,10,2023-12-05T07:57:11,2023-12-05T16:51:08,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"LFLB,F2047"
Meribel,2023-12-06,46.3,30.1,37.2,43.1,30.1,36.1,34.6,91,0,0,0,snow,0,73.6,29.5,8.1,53.6,1017.4,62.1,5.6,82.2,7.1,4,10,2023-12-06T07:58:14,2023-12-06T16:50:56,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFLB,F2047"
Meribel,2023-12-07,42.7,26.5,35,42.7,22.6,33.6,29.9,83.1,0,0,0,,0,73.6,23.3,5.8,155,1018,74.5,5.9,64.9,5.6,4,10,2023-12-07T07:59:16,2023-12-07T16:50:46,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFLB,F2047"
Meribel,2023-12-08,37.3,22.2,26.5,37.3,12.5,20.9,23,87.3,0.459,100,62.5,snow,1.8,73.1,31.5,10.1,22.9,1014.1,94.6,1.4,16,1.3,1,10,2023-12-08T08:00:16,2023-12-08T16:50:39,0.85,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"LFLB,F2047"
Meribel,2023-12-09,31,20.6,25.3,27.6,11.8,20,14.9,71,1.027,100,45.83,"rain,snow",6.9,73.5,50.8,16.6,291.6,1016.5,76.5,5.8,29.5,2.7,2,10,2023-12-09T08:01:15,2023-12-09T16:50:34,0.89,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,
Meribel,2023-12-10,30.1,23.4,26.9,30.1,10.7,20.6,14.1,62.3,0.386,100,29.17,"rain,snow",1.8,77.9,59.1,20.8,317.4,1022.1,68.1,8.2,64.5,5.5,3,10,2023-12-10T08:02:12,2023-12-10T16:50:32,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,
Meribel,2023-12-11,33.5,30.6,32.6,31.5,24.8,26.2,31.3,94.7,3.472,100,33.33,"rain,snow",11.2,87,39.8,10.3,301.2,1016.8,100,2.8,12.9,1.1,1,10,2023-12-11T08:03:06,2023-12-11T16:50:33,0.95,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,
Meribel,2023-12-12,41.1,32.8,36,39,27,31.7,34.6,94.8,0.635,77.4,25,"rain,snow",0,40.4,36.2,8.3,191.3,1017.1,99.7,6.8,16.4,1.3,1,10,2023-12-12T08:03:59,2023-12-12T16:50:36,0.98,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,
Meribel,2023-12-13,39.5,36,37.6,37.1,31.2,35,36.3,94.9,0.299,83.9,20.83,rain,0,0.8,6.3,5.8,142.5,1014.9,100,8.6,11.1,1.2,1,10,2023-12-13T08:04:50,2023-12-13T16:50:43,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Meribel,2023-12-14,39.1,31.4,35.4,39.1,26.3,33.4,33.3,92.2,0,77.4,0,"rain,snow",0,0.7,3.8,5.1,120.3,1019.3,83.9,11.2,47.9,4.2,2,10,2023-12-14T08:05:39,2023-12-14T16:50:52,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow.,rain,
Meribel,2023-12-15,43.1,30.8,34.1,43.1,24.3,29.3,29.4,82.7,0,51.6,0,"rain,snow",0,0.6,6.7,7.4,126.3,1027.5,38.4,13.3,74.4,6.3,3,10,2023-12-15T08:06:25,2023-12-15T16:51:03,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow.,rain,
Meribel,2023-12-16,40.5,29,32.8,37.2,21.3,26.4,25.9,75.7,0,22.6,0,,0,0.5,7.4,7.8,122.2,1031.9,86.9,15,52.4,4.5,2,10,2023-12-16T08:07:10,2023-12-16T16:51:17,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Meribel,2023-12-17,42.9,28.8,32.8,42.9,21.4,27.6,22.9,66.6,0,19.4,0,,0,0.4,6,7.4,124.2,1035.4,43.3,14.7,78,6.6,3,10,2023-12-17T08:07:52,2023-12-17T16:51:34,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Meribel,2023-12-18,43.2,29.4,33,43.2,22.6,28,21,61,0,16.1,0,,0,0.3,4.5,6.7,124.6,1034.7,19.4,15,79.8,6.9,3,10,2023-12-18T08:08:32,2023-12-18T16:51:54,0.2,Clear,Clear conditions throughout the day.,clear-day,
Meribel,2023-12-19,41.8,29.7,33,41.8,23.5,29,22.4,65.1,0,16.1,0,,0,0.3,4.3,6.1,122.3,1031.9,85.1,15,72.1,6.3,3,10,2023-12-19T08:09:10,2023-12-19T16:52:16,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Meribel,2023-12-20,39.6,29.3,32.5,39.6,22.8,28.4,21.3,63.3,0,12.9,0,,0,0.2,4.3,6.2,122.4,1030,65.1,15,54.6,4.5,2,10,2023-12-20T08:09:45,2023-12-20T16:52:41,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Meribel,2023-12-21,39.6,27.3,30.8,39.6,21.6,26.6,18.3,59.8,0,25.8,0,,0,0.2,4.5,6.5,130.8,1029.8,1.3,15,78.4,6.6,3,10,2023-12-21T08:10:18,2023-12-21T16:53:08,0.3,Clear,Clear conditions throughout the day.,clear-day,
Meribel,2023-12-22,35.9,26,29.5,35.9,20.3,25.4,18.1,62.8,0,38.7,0,,0,0.2,5.6,5.8,132.7,1023.9,57,15,61.6,5.4,3,10,2023-12-22T08:10:49,2023-12-22T16:53:38,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
